scenario,run-number,value,final,min,max,mean,ticks
A,11,sum [commercial-infected] of turtles,27,0,27,12.59027315,1500
A,11,sum [landscaped-green-area-infected] of turtles,37,0,37,17.32578281,1500
A,12,R0-SEI,3.625,0,5,2.510826116,1500
A,12,attack-rate,93.75,0,100,69.52448368,1500
A,12,sum [overall-infection] of turtles,354,0,354,178.9413724,1500
A,12,sum [forest-infected] of turtles,128,0,128,67.94870087,1500
A,12,sum [HDR-infected] of turtles,47,0,47,24.87341772,1500
A,12,sum [MDR-infected] of turtles,66,0,66,31.03664224,1500
A,12,sum [natural-infected] of turtles,0,0,0,0,1500
A,12,sum [road-infected] of turtles,9,0,9,3.916055963,1500
A,12,sum [forest-edge-infected] of turtles,35,0,35,16.248501,1500
A,12,sum [industrial-infected] of turtles,3,0,3,1.612258494,1500
A,12,sum [institutional-infected] of turtles,2,0,2,0.893404397,1500
A,12,sum [commercial-infected] of turtles,38,0,38,17.22451699,1500
A,12,sum [landscaped-green-area-infected] of turtles,26,0,26,15.18787475,1500
A,13,R0-SEI,3.1875,0,3.6875,2.430046636,1500
A,13,attack-rate,68.75,0,93.75,68.91655563,1500
A,13,sum [overall-infection] of turtles,417,0,417,212.419054,1500
A,13,sum [forest-infected] of turtles,143,0,143,72.73817455,1500
A,13,sum [HDR-infected] of turtles,70,0,70,37.75416389,1500
A,13,sum [MDR-infected] of turtles,95,0,95,49.23517655,1500
A,13,sum [natural-infected] of turtles,0,0,0,0,1500
A,13,sum [road-infected] of turtles,3,0,3,1.968687542,1500
A,13,sum [forest-edge-infected] of turtles,24,0,24,10.994004,1500
A,13,sum [industrial-infected] of turtles,2,0,2,1.339773484,1500
A,13,sum [institutional-infected] of turtles,3,0,3,1.648900733,1500
A,13,sum [commercial-infected] of turtles,43,0,43,21.45636243,1500
A,13,sum [landscaped-green-area-infected] of turtles,34,0,34,15.28381079,1500
A,14,R0-SEI,1.8125,0,4.625,2.704696869,1500
A,14,attack-rate,68.75,0,100,64.91089274,1500
A,14,sum [overall-infection] of turtles,447,0,447,231.7028648,1500
A,14,sum [forest-infected] of turtles,168,0,168,82.61558961,1500
A,14,sum [HDR-infected] of turtles,58,0,58,32.32445037,1500
A,14,sum [MDR-infected] of turtles,95,0,95,51.14057295,1500
A,14,sum [natural-infected] of turtles,0,0,0,0,1500
A,14,sum [road-infected] of turtles,9,0,9,5.64823451,1500
A,14,sum [forest-edge-infected] of turtles,32,0,32,17.3637575,1500
A,14,sum [industrial-infected] of turtles,3,0,3,1.17188541,1500
A,14,sum [institutional-infected] of turtles,4,0,4,2.596269154,1500
A,14,sum [commercial-infected] of turtles,30,0,30,14.67488341,1500
A,14,sum [landscaped-green-area-infected] of turtles,48,0,48,24.16722185,1500
A,15,R0-SEI,0.0625,0,0.0625,0.019230769,25
A,15,attack-rate,0,0,6.25,5.769230769,25
A,15,sum [overall-infection] of turtles,1,0,1,0.307692308,25
A,15,sum [forest-infected] of turtles,1,0,1,0.307692308,25
A,15,sum [HDR-infected] of turtles,0,0,0,0,25
A,15,sum [MDR-infected] of turtles,0,0,0,0,25
A,15,sum [natural-infected] of turtles,0,0,0,0,25
A,15,sum [road-infected] of turtles,0,0,0,0,25
A,15,sum [forest-edge-infected] of turtles,0,0,0,0,25
A,15,sum [industrial-infected] of turtles,0,0,0,0,25
A,15,sum [institutional-infected] of turtles,0,0,0,0,25
A,15,sum [commercial-infected] of turtles,0,0,0,0,25
A,15,sum [landscaped-green-area-infected] of turtles,0,0,0,0,25
A,16,R0-SEI,2,0,4,2.373251166,1500
A,16,attack-rate,87.5,0,93.75,68.60009993,1500
A,16,sum [overall-infection] of turtles,408,0,408,209.0799467,1500
A,16,sum [forest-infected] of turtles,143,0,143,77.94803464,1500
A,16,sum [HDR-infected] of turtles,57,0,57,29.29047302,1500
A,16,sum [MDR-infected] of turtles,89,0,89,45.04796802,1500
A,16,sum [natural-infected] of turtles,0,0,0,0,1500
A,16,sum [road-infected] of turtles,14,0,14,6.660892738,1500
A,16,sum [forest-edge-infected] of turtles,37,0,37,18.7188541,1500
A,16,sum [industrial-infected] of turtles,6,0,6,2.83610926,1500
A,16,sum [institutional-infected] of turtles,4,0,4,1.571618921,1500
A,16,sum [commercial-infected] of turtles,28,0,28,14.08860759,1500
A,16,sum [landscaped-green-area-infected] of turtles,30,0,30,12.91738841,1500
A,17,R0-SEI,3.125,0,4.1875,2.348142905,1500
A,17,attack-rate,81.25,0,87.5,61.70053298,1500
A,17,sum [overall-infection] of turtles,476,0,476,235.200533,1500
A,17,sum [forest-infected] of turtles,191,0,191,97.59960027,1500
A,17,sum [HDR-infected] of turtles,53,0,53,23.39573618,1500
A,17,sum [MDR-infected] of turtles,92,0,92,42.22118588,1500
