scenario,run-number,value,final,min,max,mean,ticks
A,17,attack-rate,87.5,0,100,66.30579614,1500
A,17,sum [overall-infection] of turtles,465,0,465,226.0632911,1500
A,17,sum [forest-infected] of turtles,217,0,217,107.9813458,1500
A,17,sum [HDR-infected] of turtles,8,0,8,3.952031979,1500
A,17,sum [MDR-infected] of turtles,68,0,68,32.17788141,1500
A,17,sum [open-area-infected] of turtles,106,0,106,51.75882745,1500
A,17,sum [road-infected] of turtles,1,0,1,0.748167888,1500
A,17,sum [forest-edge-infected] of turtles,65,0,65,29.44503664,1500
A,18,R0-SEI,0,0,0,0,6
A,18,attack-rate,0,0,6.25,4.464285714,6
A,18,sum [overall-infection] of turtles,0,0,0,0,6
A,18,sum [forest-infected] of turtles,0,0,0,0,6
A,18,sum [HDR-infected] of turtles,0,0,0,0,6
A,18,sum [MDR-infected] of turtles,0,0,0,0,6
A,18,sum [open-area-infected] of turtles,0,0,0,0,6
A,18,sum [road-infected] of turtles,0,0,0,0,6
A,18,sum [forest-edge-infected] of turtles,0,0,0,0,6
A,19,R0-SEI,3.3125,0,4.9375,2.816747169,1500
A,19,attack-rate,56.25,0,100,68.56678881,1500
A,19,sum [overall-infection] of turtles,547,0,547,252.5336442,1500
A,19,sum [forest-infected] of turtles,219,0,219,105.2644903,1500
A,19,sum [HDR-infected] of turtles,6,0,6,4.137241839,1500
A,19,sum [MDR-infected] of turtles,54,0,54,27.77415057,1500
A,19,sum [open-area-infected] of turtles,150,0,150,71.73017988,1500
A,19,sum [road-infected] of turtles,0,0,0,0,1500
A,19,sum [forest-edge-infected] of turtles,118,0,118,43.62758161,1500
A,20,R0-SEI,2.375,0,4.1875,2.670219853,1500
A,20,attack-rate,81.25,0,100,69.23301133,1500
A,20,sum [overall-infection] of turtles,400,0,400,211.4770153,1500
A,20,sum [forest-infected] of turtles,173,0,173,89.52831446,1500
A,20,sum [HDR-infected] of turtles,8,0,8,4.104596935,1500
A,20,sum [MDR-infected] of turtles,30,0,30,16.64556962,1500
A,20,sum [open-area-infected] of turtles,126,0,126,65.74083944,1500
A,20,sum [road-infected] of turtles,0,0,0,0,1500
A,20,sum [forest-edge-infected] of turtles,63,0,63,35.45769487,1500
A,21,R0-SEI,0.1875,0,0.1875,0.025,24
